[INFO](2026-06-03 00:17:21.746)	 LLA:LLA:start command(from ): Update[]
[INFO](2026-06-03 00:20:45.006)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:20:45.006)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:20:45.020)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:20:48.782)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:20:48.782)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:20:48.793)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:20:52.518)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:20:52.518)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:20:52.525)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:20:56.246)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:20:56.246)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:20:56.264)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:20:59.997)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:20:59.997)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:00.015)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:03.737)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:03.737)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:03.745)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:07.478)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:07.478)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:07.493)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:11.216)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:11.216)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:11.228)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:14.960)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:14.960)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:14.973)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:18.700)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:18.700)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:18.717)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:22.440)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:22.440)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:22.450)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:26.178)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:26.178)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:26.196)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:29.923)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:29.923)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:29.930)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:33.662)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:33.662)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:33.686)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[WARN](2026-06-03 00:21:33.718)	 LLA:step 1051读取PM2调度快照失败，回退等待后重试.
[INFO](2026-06-03 00:21:37.427)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:37.427)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:37.442)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:41.171)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:41.172)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:41.185)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:44.914)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:44.915)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:44.926)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:48.648)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:48.648)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:48.665)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:52.385)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:52.385)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:52.392)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:56.121)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:56.121)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:56.144)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:21:59.875)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:21:59.875)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:21:59.891)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:03.629)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:03.629)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:03.640)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:07.370)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:07.370)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:07.385)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:11.122)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:11.122)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:11.137)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:14.854)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:14.854)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:14.878)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:18.604)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:18.604)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:18.616)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:22.345)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:22.345)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:22.358)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:26.078)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:26.078)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:26.092)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:29.820)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:29.820)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:29.834)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:33.561)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:33.561)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:33.590)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:37.314)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:37.314)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:37.337)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:41.073)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:41.073)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:41.086)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:44.809)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:44.809)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:44.823)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:48.554)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:48.554)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:48.566)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[WARN](2026-06-03 00:22:48.609)	 LLA:step 1051读取PM2调度快照失败，回退等待后重试.
[INFO](2026-06-03 00:22:52.318)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:52.318)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:52.329)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:56.051)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:56.051)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:56.059)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:22:59.780)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:22:59.780)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:22:59.790)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:03.520)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:03.520)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:03.544)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:07.262)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:07.262)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:07.274)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:11.004)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:11.004)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:11.024)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:14.746)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:14.747)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:14.758)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:18.487)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:18.487)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:18.508)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:22.239)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:22.239)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:22.258)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:25.986)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:25.986)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:25.994)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:29.719)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:29.719)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:29.732)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:33.459)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:33.459)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:33.478)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:37.205)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:37.205)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:37.213)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:40.938)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:40.938)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:40.955)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:44.676)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:44.676)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:44.694)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:48.421)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:48.421)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:48.434)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:52.156)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:52.157)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:52.172)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:55.903)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:55.904)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:55.926)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:23:59.655)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:23:59.655)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:23:59.682)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:03.410)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:03.410)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:03.424)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[WARN](2026-06-03 00:24:03.464)	 LLA:step 1051读取PM2调度快照失败，回退等待后重试.
[INFO](2026-06-03 00:24:07.176)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:07.176)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:07.190)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:10.911)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:10.911)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:10.934)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:14.662)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:14.662)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:14.674)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:18.392)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:18.392)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:18.406)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:22.126)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:22.126)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:22.132)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:25.861)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:25.861)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:25.874)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:29.598)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:29.598)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:29.605)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:33.323)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:33.323)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:33.353)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:37.089)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:37.089)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:37.105)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:40.829)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:40.830)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:40.845)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:44.572)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:44.572)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:44.583)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:48.311)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:48.311)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:48.322)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:52.044)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:52.046)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:52.078)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:55.801)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:55.802)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:55.820)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:24:59.543)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:24:59.543)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:24:59.557)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:25:03.296)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:25:03.296)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:25:03.308)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:25:07.030)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:25:07.030)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:25:07.056)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:25:10.777)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:25:10.777)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:25:10.790)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:25:14.514)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:25:14.514)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:25:14.526)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:25:18.254)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:25:18.254)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:25:18.260)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[WARN](2026-06-03 00:25:18.295)	 LLA:step 1051读取PM2调度快照失败，回退等待后重试.
[INFO](2026-06-03 00:25:22.007)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:25:22.007)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:25:22.023)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:25:25.750)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:25:25.750)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:25:25.756)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:25:29.489)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:25:29.489)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:25:29.505)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:25:33.238)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:25:33.238)	 LLA:step 1051 WTR空闲，准备取片.
[WARN](2026-06-03 00:25:33.252)	 LLA:检测状态:pm2Has=0, armA_has=0, armB_has=0
[INFO](2026-06-03 00:25:36.981)	 LLA:step:1051,loadLockA PendingTasks 有片,触发Robot取片流程.
[INFO](2026-06-03 00:25:36.981)	 LLA:step 1051 WTR空闲，准备取片.
